Date and time (UTC),"Rocket, Booster Version",Boosters,Stage 2 Version,Stage 2 Serial Number,Launch site,Time Between Launches,Payload,Payload mass,Orbit,Customer,Launchoutcome,Landing Location,Booster landing / Ship landing,Latitude,Longitude,Support,Tug,Recovered,Fairing Flight Numbers,Fairing Recovery Ships,Fairing Latitude,Fairing Longitude
6/13/20 9:21,F9 v1.2 B5.3,B1059-3,Unknown,Unknown,SLC-40,"9 days, 07 hours, 55 minutes","Starlink 8 v1.0 (58 satellites),SkySats-16, -17, -18","15,410 kg (33,970 lb)",Low-Earth Orbit,SpaceXPlanet Labs,Success,OCISLY,Success,32.5472,-75.9231,GO Quest,Finn Falgout,Yes / Yes,2 / 2,GO Ms. Tree / GO Ms. Chief,32.9377,-75.4719
6/30/20 20:10,F9 v1.2 B5.4,B1060-1,Unknown,Unknown,SLC-40,"17 days, 10 hours, 49 minutes",GPS III SV03 (Matthew Henson),"4,311 kg (9,504 lb)",Medium-Earth Orbit,U.S. Space Force,Success,JRtI,Success,32.9353,-76.3331,GO Quest,Lauren Floss,Yes / Yes,1 / 1,GO Ms. Tree / GO Ms. Chief,33.7090,-75.4523
7/20/20 21:30,F9 v1.2 B5.3,B1058-2,Unknown,Unknown,SLC-40,"20 days, 01 hours, 19 minutes",ANASIS-II,"5,000–6,000 kg (11,000–13,000 lb)",Geostationary Transfer Orbit,Republic of Korea Army,Success,JRtI,Success,28.2820,-73.9341,GO Quest,Lauren Floss,Yes (Catch) / Yes (Catch),1 / 1,GO Ms. Chief / GO Ms. Tree,28.2239,-72.5504
8/7/20 5:12,F9 v1.2 B5.1,B1051-5,Unknown,Unknown,LC-39A,"17 days, 07 hours, 41 minutes","Starlink 9 v1.0 (57 Satellites),SXRS-1 (BlackSky Global 7 and 8)","14,932 kg (32,919 lb)",Low-Earth Orbit,SpaceXSpaceflight Industries (BlackSky),Success,OCISLY,Success,32.5803,-75.8806,GO Quest,Finn Falgout,Yes / Yes,1 / 1,GO Ms. Tree / GO Ms. Chief,33.1017,-75.2575
8/19/20 14:31,F9 v1.2 B5.0,B1049-6,Unknown,Unknown,SLC-40,"12 days, 09 hours, 18 minutes","Starlink 10 v1.0 (58 satellites)SkySat-19, -20, -21","~15,440 kg (34,040 lb)",Low-Earth Orbit,SpaceXPlanet Labs,Success,OCISLY,Success,32.5803,-75.8806,GO Quest,Finn Falgout,Yes (Catch) / Yes,2 / 2,GO Ms. Tree / GO Ms. Chief,33.0546,-75.3524
8/30/20 23:18,F9 v1.2 B5.3,B1059-4,Unknown,Unknown,SLC-40,"11 days, 08 hours, 46 minutes",SAOCOM 1B,"3,130 kg (6,900 lb)",Sun-Synchronous Orbit,CONAEPlanetIQTyvak,Success,LZ-1,Success,N/A,N/A,N/A,N/A,Yes / Yes,1 / 1,GO Ms. Chief,23.9197,-79.3656
9/3/20 12:46,F9 v1.2 B5.4,B1060-2,Unknown,Unknown,LC-39A,"3 days, 13 hours, 28 minutes",Starlink 11 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,32.5803,-75.8806,GO Quest,Finn Falgout,No / No,1 / 1,GO Ms. Tree / GO Ms. Chief,32.9513,-75.4305
10/6/20 11:29,F9 v1.2 B5.3,B1058-3,Unknown,Unknown,LC-39A,"32 days, 22 hours, 43 minutes",Starlink 12 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,32.5803,-75.8806,GO Quest,Finn Falgout,Yes (Catch) / Yes,3 / 1,GO Ms. Tree / GO Ms. Chief,33.0897,-75.0922
10/18/20 12:25,F9 v1.2 B5.1,B1051-6,Unknown,Unknown,LC-39A,"12 days, 00 hours, 55 minutes",Starlink 13 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,32.5803,-75.8806,GO Quest,Finn Falgout,Yes (Catch) / Yes (Catch),3 / 3,GO Ms. Tree / GO Ms. Chief,33.0232,-75.2861
10/24/20 15:31,F9 v1.2 B5.4,B1060-3,Unknown,Unknown,SLC-40,"6 days, 03 hours, 05 minutes",Starlink 14 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.4120,-76.0751,GO Quest,Lauren Floss,Yes / Yes,1 / 1,GO Ms. Chief,32.8867,-75.4927
11/5/20 23:24,F9 v1.2 B5.4,B1062-1,Unknown,Unknown,SLC-40,"12 days, 07 hours, 53 minutes",GPS III SV04 (Sacagawea),"4,311 kg (9,504 lb)",Medium-Earth Orbit,USSF,Success,OCISLY,Success,32.7500,-76.0750,GO Quest,Finn Falgout,Yes / Yes,1 / 1,GO Ms. Chief,33.6533,-75.2923
11/16/20 0:27,F9 v1.2 B5.4,B1061-1,Unknown,Unknown,LC-39A,"10 days, 01 hours, 03 minutes",Crew-1 (Crew Dragon C207-1 Resilience),"~13,000 kg (29,000 lb)",Low-Earth Orbit,NASA (CCP),Success,JRtI,Success,32.3377,-76.6915,GO Quest,Finn Falgout,N/A,N/A,N/A,N/A,N/A
11/21/20 17:17,F9 v1.2 B5.4,B1063-1,Unknown,Unknown,SLC-4E,"5 days, 16 hours, 49 minutes",Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg (2,628 lb)",Low-Earth Orbit,NASA / NOAA / ESA / EUMETSAT,Success,LZ-4,Success,N/A,N/A,N/A,N/A,Yes / Yes,1 / 1,NRC Quest,31.1766,-118.4649
11/25/20 2:13,F9 v1.2 B5.0,B1049-7,Unknown,Unknown,SLC-40,"3 days, 08 hours, 56 minutes",Starlink 15 v1.0 (60 satellites),"15,600 kg (34,400 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,32.5803,-75.8806,GO Quest,Hawk,Yes / Yes,3 / 2,GO Ms. Chief / GO Searcher,32.8131,-75.3236
