Date and time (UTC),"Rocket, Booster Version",Boosters,Stage 2 Version,Stage 2 Serial Number,Launch site,Time Between Launches,Payload,Payload mass,Orbit,Customer,Launchoutcome,Landing Location,Booster landing / Ship landing,Latitude,Longitude,Support,Tug,Recovered,Fairing Flight Numbers,Fairing Recovery Ships,Fairing Latitude,Fairing Longitude
2/21/22 14:44,F9 v1.2 B5.3 ,B1058-11,Unknown,Unknown,SLC-40,"17 days, 20 hours, 30 minutes",Starlink Group 4-8 (46 satellites),"~13,600 kg (30,000 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,25.6381,-75.0021,Doug,Zion M Falgout,Yes / Yes,3 / 3,Doug,25.5609,-74.9925
2/25/22 17:12,F9 v1.2 B5.4,B1063-4,Unknown,Unknown,SLC-4E,"4 days, 02 hours, 28 minutes",Starlink Group 4-11 (50 satellites),"~14,750 kg (32,520 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,32.6948,-162.1404,GO Quest,Scorpius,Unknown / Unknown,3 / 3,NRC Quest,29.8483,-116.5799
3/3/22 14:25,F9 v1.2 B5.4 ,B1060-11,Unknown,Unknown,LC-39A,"5 days, 21 hours, 13 minutes",Starlink Group 4-9 (47 satellites),"~13,900 kg (30,600 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,25.6277,-75.0091,Bob,Bob/Zion M Falgout,Yes / Yes,3 / 4,Bob,25.5917,-75.1550
3/9/22 13:45,F9 v1.2 B5.1,B1052-4,Unknown,Unknown,SLC-40,"5 days, 23 hours, 19 minutes",Starlink Group 4-10(48 satellites),"~14,160 kg (31,220 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,25.7210,-75.0450,Doug,Zion M Falgout,Yes / Yes,1 / 1,Doug,25.8469,-75.1245
3/19/22 4:42,F9 v1.2 B5.1 ,B1051-12,Unknown,Unknown,SLC-40,"9 days, 14 hours, 57 minutes",Starlink Group 4-12 (53 satellites),"~16,250 kg (35,830 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.5600,-75.9367,Bob,Zion M Falgout,Yes / Yes,4 / 2,Doug,32.6183,-75.7217
4/1/22 16:24,F9 v1.2 B5.4,B1061-7,Unknown,Unknown,SLC-40,"13 days, 11 hours, 42 minutes",Transporter-4: (40 payloads Smallsat Rideshare),Unknown,Sun-Synchronous Orbit,Various,Success,JRtI,Success,24.0267,-79.2350,Bob,Finn Falgout,Yes / Yes,1 / 1,Bob,23.4233,-79.1983
4/8/22 15:17,F9 v1.2 B5.4,B1062-5,Unknown,Unknown,LC-39A,"6 days, 22 hours, 53 minutes",Axiom-1 (Crew Dragon C206-3 Endeavour),"~13,000 kg (29,000 lb)",Low-Earth Orbit,Axiom Space,Success,ASoG,Success,32.1217,-76.7500,Doug,Doug,N/A,N/A,N/A,N/A,N/A
4/17/22 13:13,F9 v1.2 B5.4,B1071-2,Unknown,Unknown,SLC-4E,"8 days, 21 hours, 55 minutes",NROL-85 (Intruder 13A (NOSS-3 9A) and Intruder 13B (NOSS-3 9B)),Classified,Low-Earth Orbit,NRO,Success,LZ-4,Success,N/A,N/A,N/A,N/A,Unknown / Unknown,1 / 1,NRC Quest,30.5154,-117.8615
4/21/22 17:51,F9 v1.2 B5.4 ,B1060-12,Unknown,Unknown,SLC-40,"4 days, 04 hours, 38 minutes",Starlink Group 4-14 (53 satellites),"~16,250 kg (35,830 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.5541,-75.9219,Bob,Finn Falgout,Yes / Yes,2 / 2,Bob,32.6200,-75.8567
4/27/22 7:52,F9 v1.2 B5.4,B1067-4,Unknown,Unknown,LC-39A,"5 days, 14 hours, 00 minutes",Crew-4,"~13,000 kg (29,000 lb)",Low-Earth Orbit,NASA (CTS),Success,ASoG,Success,32.1933,-76.7000,Doug,Doug,N/A,N/A,N/A,N/A,N/A
4/29/22 21:27,F9 v1.2 B5.4,B1062-6,Unknown,Unknown,SLC-40,"2 days, 13 hours, 35 minutes",Starlink Group 4-16 (53 satellites),"~16,250 kg (35,830 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.4800,-75.9633,Bob,Bob,Yes / Yes,2 / 2,Bob,32.4300,-75.7700
5/6/22 9:46,F9 v1.2 B5.3 ,B1058-12,Unknown,Unknown,LC-39A,"6 days, 12 hours, 18 minutes",Starlink Group 4-17 (53 satellites),"~16,250 kg (35,830 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,32.5862,-75.8798,Doug,Doug,Yes / Yes,6 / 3,Doug,32.6551,-75.8073
5/13/22 22:07,F9 v1.2 B5.4,B1063-5,Unknown,Unknown,SLC-4E,"7 days, 12 hours, 20 minutes",Starlink Group 4-13 (53 satellites),"~16,250 kg (35,830 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,29.8667,-116.7287,GO Quest,Debra C,Unknown / Unknown,4 / 5,NRC Quest,29.9526,-116.7061
5/14/22 20:40,F9 v1.2 B5.4,B1073-1,Unknown,Unknown,SLC-40,"0 days, 22 hours, 32 minutes",Starlink Group 4-15 (53 satellites),"~16,250 kg (35,830 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.4410,-76.0762,Bob,Finn Falgout,Yes / Yes,2 / 2,Bob,32.4917,-76.0117
5/18/22 10:59,F9 v1.2 B5.1,B1052-5,Unknown,Unknown,LC-39A,"3 days, 14 hours, 19 minutes",Starlink Group 4-18 (53 satellites),"~16,250 kg (35,830 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,32.5367,-75.9454,Doug,Doug,Yes / Yes,3 / 3,Doug,32.4750,-75.9100
5/25/22 18:35,F9 v1.2 B5.4,B1061-8,Unknown,Unknown,SLC-40,"7 days, 07 hours, 35 minutes",Transporter-5: (59 payloads Smallsat Rideshare),Unknown,Sun-Synchronous Orbit,Various,Success,LZ-1,Success,N/A,N/A,N/A,N/A,Yes / Yes,2 / 2,Bob,23.2900,-79.2900
6/8/22 21:03,F9 v1.2 B5.4,B1062-7,Unknown,Unknown,SLC-40,"14 days, 02 hours, 28 minutes",Nilesat-301,"~4,100 kg (9,000 lb)",Geostationary Transfer Orbit,Nilesat,Success,JRtI,Success,27.7869,-73.8051,Bob,Finn Falgout,Yes / Yes,1 / 1,Bob,27.6483,-72.6317
6/17/22 16:09,F9 v1.2 B5.4 ,B1060-13,Unknown,Unknown,LC-39A,"8 days, 19 hours, 06 minutes",Starlink Group 4-19 (53 satellites),"~16,250 kg (35,830 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,32.7008,-75.7345,Doug,Doug,Yes / Yes,3 / 3,Bob / Doug,32.5443,-75.7992
6/18/22 14:19,F9 v1.2 B5.4,B1071-3,Unknown,Unknown,SLC-4E,"0 days, 22 hours, 09 minutes",SARah 1,"~4,000 kg (8,800 lb)",Sun-Synchronous Orbit,German Intelligence Service,Success,LZ-4,Success,N/A,N/A,N/A,N/A,Yes / Yes,1 / 1,NRC Quest,30.9401,-121.4278
6/19/22 4:27,F9 v1.2 B5.4,B1061-9,Unknown,Unknown,SLC-40,"0 days, 14 hours, 07 minutes",Globalstar-2 M087 (FM15),"~700 kg (1,500 lb)(excluding secret payloads)",Low-Earth Orbit,GlobalstarUnknown US Government Agency,Success,JRtI,Success,32.8383,-75.9917,Bob,Finn Falgout,Yes / Yes,4 / 4,Bob,32.9800,-75.5767
6/29/22 21:04,F9 v1.2 B5.4,B1073-2,Unknown,Unknown,SLC-40,"10 days, 16 hours, 37 minutes",SES-22,"~3,500 kg (7,700 lb)",Geostationary Transfer Orbit,SES,Success,ASoG,Success,27.9048,-74.1788,Doug,Doug,Yes / Yes,2 / 2,Doug,27.7867,-72.8517
7/7/22 13:11,F9 v1.2 B5.3 ,B1058-13,Unknown,Unknown,SLC-40,"7 days, 16 hours, 06 minutes",Starlink Group 4-21 (53 satellites),"~16,250 kg (35,830 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.6703,-75.7781,Bob,Kurt J Crosby,Yes / No,3 / 3,Bob,32.7935,-75.7535
7/11/22 1:39,F9 v1.2 B5.4,B1063-6,Unknown,Unknown,SLC-4E,"3 days, 12 hours, 27 minutes",Starlink Group 3-1 (46 satellites),"~14,100 kg (31,100 lb)",Sun-Synchronous Orbit,SpaceX,Success,OCISLY,Success,28.9481,-121.8378,GO Quest,Scorpius,Yes / Yes,2 / 2,NRC Quest,28.9371,-121.7677
7/15/22 0:44,F9 v1.2 B5.4,B1067-5,Unknown,Unknown,LC-39A,"3 days, 23 hours, 04 minutes",SpaceX CRS-25 (Dragon C208-3),"2,668 kg (5,881 lb)(excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,ASoG,Success,30.5464,-78.4486,Doug,Doug,N/A,N/A,N/A,N/A,N/A
7/17/22 14:20,F9 v1.2 B5.1 ,B1051-13,Unknown,Unknown,SLC-40,"2 days, 13 hours, 35 minutes",Starlink Group 4-22 (53 satellites),"~16,250 kg (35,830 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.6921,-75.7478,Bob,Kurt J Crosby,Yes / Yes,3 / 3,Bob,32.7100,-75.7650
7/22/22 17:39,F9 v1.2 B5.4,B1071-4,Unknown,Unknown,SLC-4E,"5 days, 03 hours, 19 minutes",Starlink Group 3-2 (46 satellites),"~14,100 kg (31,100 lb)",Sun-Synchronous Orbit,SpaceX,Success,OCISLY,Success,29.0691,-121.8182,GO Quest,Scorpius,Unknown / Unknown,3 / 5,NRC Quest,29.1579,-121.8218
7/24/22 13:38,F9 v1.2 B5.4,B1062-8,Unknown,Unknown,LC-39A,"1 days, 19 hours, 59 minutes",Starlink Group 4-25 (53 satellites),"~16,250 kg (35,830 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,32.7364,-75.6867,Doug,Doug,No / No,Unknown / Unknown,N/A,N/A,N/A
8/4/22 23:08,F9 v1.2 B5.1,B1052-6,Unknown,Unknown,SLC-40,"11 days, 09 hours, 29 minutes",Danuri (Korea Pathfinder Lunar Orbiter),"~679 kg (1,497 lb)",Ballistic lunar transfer,KARI,Success,JRtI,Success,29.2126,-74.0594,Bob,Kurt J Crosby,Yes / Yes,4 / 4,Bob,29.3167,-73.2633
8/10/22 2:14,F9 v1.2 B5.4,B1073-3,Unknown,Unknown,LC-39A,"5 days, 03 hours, 05 minutes",Starlink Group 4-26 (52 satellites),"~16,000 kg (35,000 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,32.6124,-75.8466,Doug,Kurt J Crosby / Crosby Skipper,Yes / Yes,3 / 3,Doug,32.5833,-75.8950
8/12/22 21:40,F9 v1.2 B5.4 ,B1061-10,Unknown,Unknown,SLC-4E,"2 days, 19 hours, 26 minutes",Starlink Group 3-3 (46 satellites),"~14,100 kg (31,100 lb)",Sun-Synchronous Orbit,SpaceX,Success,OCISLY,Success,28.9849,-121.8298,GO Quest,Scorpius,Unknown / Unknown,4 / 4,NRC Quest,28.9547,-121.8598
8/19/22 19:21,F9 v1.2 B5.4,B1062-9,Unknown,Unknown,SLC-40,"6 days, 21 hours, 40 minutes",Starlink Group 4-27 (53 satellites),"~16,250 kg (35,830 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,32.7862,-75.6286,Doug,Crosby Skipper,Yes / Yes,5 / 6,Doug,32.8150,-75.6000
8/28/22 3:41,F9 v1.2 B5.4,B1069-2,Unknown,Unknown,SLC-40,"8 days, 08 hours, 19 minutes",Starlink Group 4-23,"~16,700 kg (36,800 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,32.7178,-75.7161,Doug,Kurt J Crosby,Yes / Yes,3 / 3,Doug,32.8567,-75.7597
8/31/22 5:40,F9 v1.2 B5.4,B1063-7,Unknown,Unknown,SLC-4E,"3 days, 01 hours, 59 minutes",Starlink Group 3-4 (46 satellites),"~14,200 kg (31,300 lb)",Sun-Synchronous Orbit,SpaceX,Success,OCISLY,Success,28.9831,-121.8626,GO Quest,Scorpius,Yes / Yes,3 / 3,NRC Quest,29.0609,-121.9397
9/5/22 2:09,F9 v1.2 B5.1,B1052-7,Unknown,Unknown,SLC-40,"4 days, 20 hours, 29 minutes",Starlink Group 4-20 (51 satellites) Sherpa-LTC2,"~16,000 kg (35,000 lb)",Low-Earth Orbit,SpaceXSpaceflight Industries,Success,JRtI,Success,32.4967,-75.9442,Doug,Doug,Yes / Yes,5 / 4,Doug,33.0083,-75.3950
9/11/22 1:20,F9 v1.2 B5.3 ,B1058-14,Unknown,Unknown,LC-39A,"5 days, 23 hours, 10 minutes",Starlink Group 4-2 (34 satellites)BlueWalker-3,"~11,938 kg (26,319 lb)",Low-Earth Orbit,SpaceXAST SpaceMobile,Success,ASoG,Success,32.6608,-75.7841,Bob,Bob,Yes / Yes,4 / 5,Bob,32.6667,-75.6800
9/19/22 0:18,F9 v1.2 B5.4,B1067-6,Unknown,Unknown,SLC-40,"7 days, 22 hours, 57 minutes",Starlink Group 4-34 (54 satellites),"~16,700 kg (36,800 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.7725,-75.6400,Doug,Kurt J Crosby,Yes / Yes,4 / 3,Doug,32.6883,-75.8050
9/24/22 23:32,F9 v1.2 B5.4,B1073-4,Unknown,Unknown,SLC-40,"5 days, 23 hours, 14 minutes",Starlink Group 4-35 (52 satellites),"~16,100 kg (35,500 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,32.4752,-75.8547,Bob,Bob,Yes / Yes,4 / 5,Bob,32.5844,-75.8125
10/5/22 16:00,F9 v1.2 B5.4,B1077-1,Unknown,Unknown,LC-39A,"10 days, 16 hours, 27 minutes",Crew-5 (Crew Dragon C210-2 Endurance),"~13,000 kg (29,000 lb)",Low-Earth Orbit,NASA (CTS),Success,JRtI,Success,32.1975,-76.7175,Doug,Doug,N/A,N/A,N/A,N/A,N/A
10/5/22 23:10,F9 v1.2 B5.4,B1071-5,Unknown,Unknown,SLC-4E,"0 days, 07 hours, 10 minutes",Starlink Group 4-29 (52 satellites),"~16,100 kg (35,500 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,29.9376,-116.7940,GO Quest,Scorpius,Unknown / Unknown,4 / 4,NRC Quest,29.9837,-116.8908
10/8/22 23:05,F9 v1.2 B5.4 ,B1060-14,Unknown,Unknown,SLC-40,"2 days, 23 hours, 54 minutes",Galaxy 33 and Galaxy 34 (2 satellites),"7,350 kg (16,200 lb)",Geostationary Transfer Orbit,Intelsat,Success,ASoG,Success,28.2479,-73.7535,Bob,Kurt J Crosby,Yes / Yes,5 / 5,Bob,28.1847,-72.5487
10/15/22 5:22,F9 v1.2 B5.4,B1069-3,Unknown,Unknown,SLC-40,"6 days, 06 hours, 17 minutes",Hotbird 13F,"~4,501 kg (9,923 lb)",Geostationary Transfer Orbit,Eutelsat,Success,JRtI,Success,28.4473,-73.8580,Doug,Doug,Yes / Yes,4 / 4,Doug,28.3950,-72.5250
10/20/22 14:50,F9 v1.2 B5.4 ,B1062-10,Unknown,Unknown,SLC-40,"5 days, 09 hours, 27 minutes",Starlink Group 4-36 (54 satellites),"~16,700 kg (36,800 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,32.7455,-75.6819,Bob,Bob,Yes / No,4 / 4,Bob,32.7427,-75.6856
10/28/22 1:14,F9 v1.2 B5.4,B1063-8,Unknown,Unknown,SLC-4E,"7 days, 10 hours, 24 minutes",Starlink Group 4-31 (53 satellites),"~16,400 kg (36,200 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,29.6883,-116.6809,GO Quest,Scorpius,Unknown / Unknown,5 / 5,NRC Quest,29.7735,-116.6322
11/1/22 13:41,"FH v1.2 B5.4, F9 v1.2 B5.4, F9 v1.2 B5.4","B1066-1, B1064-1, B1065-1",Unknown,Unknown,LC-39A,"4 days, 12 hours, 27 minutes",USSF-44,"~3,750 kg (8,270 lb)",Geostationary Earth Orbit,"USSF, Millennium Space Systems, Lockheed martin",Success,None / LZ-1 / LZ-2,No Attempt / Success / Success,N/A,N/A,N/A,N/A,Yes / Yes,1 / 1,Doug,25.8483,-65.8000
11/3/22 5:22,F9 v1.2 B5.4,B1067-7,Unknown,Unknown,SLC-40,"1 days, 15 hours, 40 minutes",Hotbird 13G,"~4,500 kg (9,900 lb)",Geostationary Transfer Orbit,Eutelsat,Success,JRtI,Success,28.4451,-73.7968,Bob,Crosby Skipper,Yes / Yes,6 / 4,Bob,28.3800,-72.4383
11/12/22 16:06,F9 v1.2 B5.1 ,B1051-14,Unknown,Unknown,SLC-40,"9 days, 10 hours, 43 minutes",Galaxy 31 and Galaxy 32 (2 satellites),"~6,600 kg (14,600 lb)",Geostationary Transfer Orbit,Intelsat,Success,None,No Attempt,N/A,N/A,N/A,N/A,Yes / Yes,5 / 5,Bob,27.9417,-70.8167
11/23/22 2:57,F9 v1.2 B5.0 ,B1049-11,Unknown,Unknown,SLC-40,"10 days, 10 hours, 51 minutes",Eutelsat 10B,"5,500 kg (12,100 lb)",Geostationary Transfer Orbit,Eutelsat,Success,None,No Attempt,N/A,N/A,N/A,N/A,Yes / Yes,5 / 6,Doug,27.7821,-70.4676
11/26/22 19:20,F9 v1.2 B5.4,B1076-1,Unknown,Unknown,LC-39A,"3 days, 16 hours, 22 minutes",SpaceX CRS-26 (Dragon C211-1),"3,528 kg (7,778 lb)",Low-Earth Orbit,NASA (CRS),Success,JRtI,Success,30.5464,-78.4486,Bob,Crosby Skipper,N/A,N/A,N/A,N/A,N/A
12/8/22 22:27,F9 v1.2 B5.4,B1069-4,Unknown,Unknown,LC-39A,"12 days, 03 hours, 07 minutes",OneWeb Flight #15 / SpaceX Flight 1 (40 satellites),"6,000 kg (13,000 lb)",Polar Low-Earth Orbit,OneWeb,Success,LZ-1,Success,N/A,N/A,N/A,N/A,Yes / Yes,5 / 6,Doug,23.2483,-79.3233
12/11/22 7:38,F9 v1.2 B5.4,B1073-5,Unknown,Unknown,SLC-40,"2 days, 09 hours, 11 minutes",Hakuto-R Mission 1,"~1,000 kg (2,200 lb)",Ballistic lunar transfer,ispace MBRSC  JAXA NASA,Success,LZ-2,Success,N/A,N/A,N/A,N/A,Yes / Yes,4 / 5,Bob,28.7250,-75.1800
12/16/22 11:46,F9 v1.2 B5.4,B1071-6,Unknown,Unknown,SLC-4E,"5 days, 04 hours, 07 minutes",Surface Water and Ocean Topography (SWOT),"~2,200 kg (4,900 lb)",Low-Earth Orbit,NASA/CNES,Success,LZ-4,Success,N/A,N/A,N/A,N/A,Unknown / Unknown,1 / 1,NRC Quest,30.5903,-123.2746
12/16/22 22:48,F9 v1.2 B5.4,B1067-8,Unknown,Unknown,SLC-40,"0 days, 11 hours, 01 minutes",O3b mPOWER 1 & 2,"~4,100 kg (9,000 lb)",Medium-Earth Orbit,SES,Success,ASoG,Success,28.2948,-73.6090,Bob,Crosby Skipper,Yes / No,4 / 5,Bob,28.2450,-72.2917
12/17/22 21:32,F9 v1.2 B5.3 ,B1058-15,Unknown,Unknown,LC-39A,"0 days, 22 hours, 44 minutes",Starlink Group 4-37 (54 satellites),"~16,700 kg (36,800 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,32.7518,-75.6664,Doug,Doug,Yes / Yes,Unknown / Unknown,Doug,32.7417,-75.4300
12/28/22 9:34,F9 v1.2 B5.4 ,B1062-11,Unknown,Unknown,SLC-40,"10 days, 12 hours, 01 minutes",Starlink Group 5-1 (54 satellites),"~16,700 kg (36,800 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,25.6810,-74.9355,Doug,Crosby Skipper,Yes / Yes,Unknown / Unknown,Doug,25.7217,-74.9867
12/30/22 7:38,F9 v1.2 B5.4 ,B1061-11,Unknown,Unknown,SLC-4E,"1 days, 22 hours, 04 minutes",EROS-C3,~400 kg (880 lb),Low-Earth Orbit,ImageSat International,Success,LZ-4,Success,N/A,N/A,N/A,N/A,Unknown / Unknown,Unknown / Unknown,NRC Quest,32.9973,-124.5873
1/3/23 14:56,F9 v1.2 B5.4 ,B1060-15,Unknown,Unknown,SLC-40,"4 days, 07 hours, 17 minutes",Transporter-6: (114 payloads Smallsat Rideshare),Unknown,Sun-Synchronous Orbit,Various,Success,LZ-1,Success,N/A,N/A,N/A,N/A,Yes / Yes,Unknown / Unknown,Bob,23.2350,-79.3333
1/10/23 4:50,F9 v1.2 B5.4,B1076-2,Unknown,Unknown,SLC-40,"6 days, 13 hours, 54 minutes",OneWeb Flight #16 / SpaceX Flight 2,"6,000 kg (13,000 lb)",Polar Low-Earth Orbit,OneWeb,Success,LZ-1,Success,N/A,N/A,N/A,N/A,Yes / Yes,6 / 7,Doug,23.3033,-79.1733
1/15/23 22:56,"FH v1.2 B5.4, F9 v1.2 B5.4, F9 v1.2 B5.4","B1070-1, B1064-2, B1065-2",Unknown,Unknown,LC-39A,"5 days, 18 hours, 05 minutes",USSF-67,"~3,750 kg (8,270 lb)",Geostationary Earth Orbit,USSF,Success,None / LZ-1 / LZ-2,No Attempt / Success / Success,N/A,N/A,N/A,N/A,Yes / Yes,1 / 1,Bob,27.6672,-65.3964
1/18/23 12:24,F9 v1.2 B5.4,B1077-2,Unknown,Unknown,SLC-40,"2 days, 13 hours, 28 minutes",GPS III SV06 (Amelia Earhart),"4,352 kg (9,670 lb)",Medium-Earth Orbit,USSF,Success,ASoG,Success,32.7658,-76.0603,Doug,Crosby Skipper,Yes / Yes,1 / 1,Doug,33.5977,-75.0749
1/19/23 15:43,F9 v1.2 B5.4,B1075-1,Unknown,Unknown,SLC-4E,"1 days, 03 hours, 19 minutes",Starlink Group 2-4 (51 satellites),"~15,650 kg (~34,700 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,29.1933,-117.7644,GO Quest,Scorpius,Unknown / Unknown,Unknown / Unknown,NRC Quest,29.2206,-117.6910
1/26/23 9:32,F9 v1.2 B5.4,B1067-9,Unknown,Unknown,SLC-40,"6 days, 17 hours, 49 minutes",Starlink Group 5-2 (56 satellites),"~17,200 kg (~38,000 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,25.6097,-74.7964,Bob,Crosby Skipper,Yes / Yes,5 / 6,Bob,25.6097,-74.7964
1/31/23 16:15,F9 v1.2 B5.4,B1071-7,Unknown,Unknown,SLC-4E,"5 days, 06 hours, 42 minutes",Starlink Group 2-6 (49 satellites) & ION SCV009,"~15,000 kg (~33,000 lb)",Low-Earth Orbit,"SpaceX, D-Orbit",Success,OCISLY,Success,29.3194,-117.8264,GO Quest,Scorpius,Unknown / Unknown,3 / 5,NRC Quest,29.3429,-117.7734
2/2/23 7:58,F9 v1.2 B5.4,B1069-5,Unknown,Unknown,LC-39A,"1 days, 15 hours, 43 minutes",Starlink Group 5-3 (53 satellites),"~16,300 kg (~36,000 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,25.6097,-74.7964,Bob,Crosby Endeavor,Yes / Yes,6 / 7,Bob,25.6504,-74.8476
2/7/23 1:32,F9 v1.2 B5.4,B1073-6,Unknown,Unknown,SLC-40,"4 days, 17 hours, 33 minutes",Amazonas Nexus,"~4,500 kg (~9,900 lb)",Geostationary Transfer Orbit,Hispasat,Success,JRtI,Success,28.1564,-74.2564,Bob,Crosby Skipper,Yes / Yes,5 / 6,Bob,28.0533,-72.6643
2/12/23 5:10,F9 v1.2 B5.4 ,B1062-12,Unknown,Unknown,SLC-40,"5 days, 03 hours, 38 minutes",Starlink Group 5-4,"~16,900 kg (~37,200 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,25.5968,-74.8928,Doug,Doug,Yes / Yes,5 / 8,Doug,25.7050,-74.8917
2/17/23 19:12,F9 v1.2 B5.4,B1063-9,Unknown,Unknown,SLC-4E,"5 days, 14 hours, 02 minutes",Starlink Group 2-5,"~15,600 kg (~34,300 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,29.1800,-117.7583,GO Quest,Scorpius,Unknown / Unknown,5 / 6,NRC Quest,29.2035,-117.7054
2/18/23 3:59,F9 v1.2 B5.4,B1077-3,Unknown,Unknown,SLC-40,"0 days, 08 hours, 46 minutes",Inmarsat I-6 F2,"5,470 kg (12,060 lb)",Geostationary Transfer Orbit,Inmarsat,Success,JRtI,Success,28.9136,-73.7800,Bob,Bob,Yes / Yes,Unknown / Unknown,Bob,28.8612,-72.4411
2/27/23 23:13,F9 v1.2 B5.4,B1076-3,Unknown,Unknown,SLC-40,"9 days, 19 hours, 14 minutes",Starlink Group 6-1,"~16,000 kg (35,000 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,25.7330,-75.1432,Doug,Doug,Yes / Yes,2 / 2,Doug,25.3617,-74.5500
3/2/23 5:34,F9 v1.2 B5.4,B1078-1,Unknown,Unknown,LC-39A,"2 days, 06 hours, 20 minutes",Crew-6  (Crew Dragon C206-4 Endeavour),"~13,000 kg (29,000 lb)",Low-Earth Orbit,NASA,Success,JRtI,Success,32.1800,-76.6583,Bob,Bob,N/A,N/A,N/A,N/A,N/A
3/3/23 18:38,F9 v1.2 B5.4 ,B1061-12,Unknown,Unknown,SLC-4E,"1 days, 13 hours, 03 minutes",Starlink Group 2-7,"~15,600 kg (~34,300 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,29.1863,-117.7693,GO Quest,Scorpius,Unknown / Unknown,2 / 5,NRC Quest,29.2444,-117.7299
3/9/23 19:13,F9 v1.2 B5.4 ,B1062-13,Unknown,Unknown,SLC-40,"6 days, 00 hours, 34 minutes",OneWeb Flight #17 / SpaceX Flight 3,"~6,000 kg (~13,000 lbs)",Polar Low-Earth Orbit,OneWeb,Success,LZ-1,Success,N/A,N/A,N/A,N/A,Yes / Yes,6 / 6,Bob,23.3033,-79.1733
3/15/23 0:30,F9 v1.2 B5.4,B1073-7,Unknown,Unknown,LC-39A,"5 days, 05 hours, 17 minutes",SpaceX CRS-27 (Dragon C209-3),"2,852 kg (6,288 lb)",Low-Earth Orbit,NASA (CRS),Success,ASoG,Success,30.5464,-78.4486,Doug,Doug,N/A,N/A,N/A,N/A,N/A
3/17/23 19:26,F9 v1.2 B5.4,B1071-8,Unknown,Unknown,SLC-4E,"2 days, 18 hours, 55 minutes",Starlink Group 2-8,"~16,000 kg (35,000 lb)",Low-Earth Orbit,SpaceX,Success,OCISLY,Success,29.1933,-117.7644,GO Quest,Scorpius,Unknown / Unknown,5 / 5,NRC Quest,29.2514,-117.7250
3/17/23 23:38,F9 v1.2 B5.4,B1069-6,Unknown,Unknown,SLC-40,"0 days, 04 hours, 11 minutes",SES 18&19,"~7,000 kg (15,400 lb)",Geostationary Transfer Orbit,SES,Success,JRtI,Success,28.2217,-73.7292,Bob,Crosby Skipper,Yes / Yes,3 / 7,Bob,28.0830,-72.5510
3/24/23 15:43,F9 v1.2 B5.4 ,B1067-10,Unknown,Unknown,SLC-40,"6 days, 16 hours, 05 minutes",Starlink Group 5-5,"~17,200 kg (~38,000 lb)",Low-Earth Orbit,SpaceX,Success,ASoG,Success,25.6904,-75.0434,Doug,Doug,Yes / Yes,6 / 7,Doug,25.7100,-75.1617
3/29/23 20:01,F9 v1.2 B5.4,B1077-4,Unknown,Unknown,SLC-40,"5 days, 04 hours, 17 minutes",Starlink Group 5-10,"~17,200 kg (~38,000 lb)",Low-Earth Orbit,SpaceX,Success,JRtI,Success,25.6097,-74.7964,Bob,Bob,Yes / Yes,7 / 7,Bob,25.6293,-74.9146
3/31/23 14:29,F9 v1.2 B5.4,B1075-2,Unknown,Unknown,SLC-4E,"1 days, 18 hours, 28 minutes",SDA T&T Tranche 0A,"~5,000 kg (~11,000 lb)",Low-Earth Orbit,SDA,Success,LZ-4,Success,N/A,N/A,N/A,N/A,Unknown / Unknown,4 / 6,NRC Quest,30.2790,-119.8380
